Start Date,End Date,Length of Lease,Lease Sizes,Country,State,State Category,Zip Code,Regions,Rentable Sqft,Usable Sqft,Structured Parking Spaces,Surface Parking Spaces,Surface Sizes,Rent Amount
2022-10-01,2027-09-30,1825,Medium 1000-2999,US,MN,Other,55121,Region 5,0.0,0.0,0,0,Small 0-49,3353.24
2018-01-01,2027-12-31,3651,Long 3000-4999,US,NY,NY,10604,Region 1,41105.0,37395.0,0,164,XLarge 100-249,985559.6
2013-06-01,2028-05-31,5478,Very Long 5000-15000,US,NY,NY,10017,Region 1,5773.0,5020.0,1,7,Small 0-49,198243.17
2014-09-01,2029-08-31,5478,Very Long 5000-15000,US,CT,Other,06108,Region 0,17328.0,15150.0,0,0,Small 0-49,440195.57
2022-08-15,2037-08-14,5478,Very Long 5000-15000,US,CT,Other,06103,Region 0,58601.0,51859.0,18,0,Small 0-49,2488641.67
2020-02-27,2035-02-26,5478,Very Long 5000-15000,US,CT,Other,06103,Region 0,38166.0,32433.53,29,0,Small 0-49,1739308.39
2018-07-30,2028-07-29,3652,Long 3000-4999,US,CT,Other,06103,Region 0,13472.0,11493.0,0,0,Small 0-49,440173.43
2021-12-01,2036-11-30,5478,Very Long 5000-15000,US,CT,Other,06117,Region 0,5385.0,4678.0,12,0,Small 0-49,220643.01
2019-02-12,2034-02-11,5478,Very Long 5000-15000,US,CT,Other,06117,Region 0,6750.0,5672.0,9,0,Small 0-49,257869.23
2010-12-03,2025-12-02,5478,Very Long 5000-15000,US,CT,Other,06117,Region 0,4138.0,3477.0,6,0,Small 0-49,168715.27
2016-06-01,2026-05-31,3651,Long 3000-4999,US,CT,Other,02110,Region 0,11925.0,10370.0,0,31,Small 0-49,259968.93
2024-10-01,2039-09-30,5477,Very Long 5000-15000,US,CT,Other,02110,Region 0,0.0,0.0,0,0,Small 0-49,34380.14
2020-10-01,2035-09-30,5477,Very Long 5000-15000,US,NY,NY,11210,Region 1,9930.0,8490.0,22,0,Small 0-49,396255.75
2012-08-15,2027-08-14,5477,Very Long 5000-15000,US,NY,NY,11210,Region 1,13034.0,10818.0,40,0,Small 0-49,476878.7
2021-03-04,2036-03-03,5478,Very Long 5000-15000,US,NY,NY,11210,Region 1,14096.0,11747.0,41,0,Small 0-49,470228.7
2015-02-01,2025-01-31,3652,Long 3000-4999,US,MA,Other,02186,Region 0,2730.0,1950.0,11,0,Small 0-49,89058.21
2010-11-01,2027-10-31,6208,Very Long 5000-15000,US,NJ,Other,07960,Region 0,24647.0,21432.0,9,0,Small 0-49,671726.69
2000-01-05,2030-01-04,10957,Very Long 5000-15000,US,CT,Other,06511,Region 0,89613.0,78826.0,70,150,XLarge 100-249,3500006.55
2021-05-21,2031-05-20,3651,Long 3000-4999,US,CT,Other,06810,Region 0,1575.0,1406.0,0,0,Small 0-49,58309.19
2021-12-28,2031-12-27,3651,Long 3000-4999,US,CT,Other,06810,Region 0,5524.0,4871.0,0,0,Small 0-49,171396.04
2021-07-01,2031-06-30,3651,Long 3000-4999,US,CT,Other,06084,Region 0,16275.0,10302.0,0,52,Large 50-99,467155.65
2022-02-15,2032-02-14,3651,Long 3000-4999,US,CT,Other,06106,Region 0,5977.0,5198.0,11,10,Small 0-49,136888.16
2021-09-01,2031-08-31,3651,Long 3000-4999,US,CT,Other,06096,Region 0,13600.0,11825.0,0,5,Small 0-49,301135.35
2003-01-17,2033-01-16,10957,Very Long 5000-15000,US,CT,Other,06498,Region 0,6065.0,6065.0,0,25,Small 0-49,205106.32
2013-01-01,2027-12-31,5477,Very Long 5000-15000,US,CT,Other,06320,Region 0,1303.0,1137.0,0,0,Small 0-49,41732.06
2009-01-16,2029-01-15,7304,Very Long 5000-15000,US,CT,Other,06320,Region 0,49741.0,47200.0,0,164,XLarge 100-249,1542528.28
2014-07-01,2026-06-30,4382,Long 3000-4999,US,CT,Other,06512,Region 0,459.0,459.0,0,0,Small 0-49,15876.81
2023-09-01,2038-08-31,5478,Very Long 5000-15000,US,CT,Other,06084,Region 0,0.0,0.0,0,0,Small 0-49,16035.01
2009-06-15,2025-08-14,5904,Very Long 5000-15000,US,CT,Other,06106,Region 0,5992.0,5303.0,17,0,Small 0-49,145093.5
2019-01-29,2034-01-28,5478,Very Long 5000-15000,US,CT,Other,06514,Region 0,28934.0,27394.0,0,15,Small 0-49,616396.31
2019-07-27,2034-07-26,5478,Very Long 5000-15000,US,CT,Other,06320,Region 0,7276.0,6266.0,16,6,Small 0-49,295522.58
2020-11-01,2035-10-31,5477,Very Long 5000-15000,US,MA,Other,02492,Region 0,14318.0,13705.0,0,32,Small 0-49,310821.75
2009-11-01,2029-10-31,7304,Very Long 5000-15000,US,CT,Other,06901,Region 0,1380.0,1380.0,6,0,Small 0-49,71191.45
2020-01-07,2030-01-06,3652,Long 3000-4999,US,CT,Other,06074,Region 0,6812.0,6314.0,0,40,Small 0-49,478328.27
2010-07-29,2025-07-28,5478,Very Long 5000-15000,US,NY,NY,10022,Region 1,4581.0,4048.0,0,38,Small 0-49,137846.6
2022-11-20,2032-11-19,3652,Long 3000-4999,US,GA,Other,30328,Region 3,2012.0,1750.0,0,5,Small 0-49,51183.04
2010-12-16,2025-12-15,5478,Very Long 5000-15000,US,CT,Other,06492,Region 0,2711.0,2467.0,0,24,Small 0-49,79546.46
2015-01-23,2025-01-22,3652,Long 3000-4999,US,CT,Other,06405,Region 0,4674.0,3961.0,0,25,Small 0-49,135823.96
2022-01-17,2032-01-16,3651,Long 3000-4999,US,CT,Other,06830,Region 0,20915.0,18405.0,0,6,Small 0-49,754316.98
2012-05-01,2025-04-30,4747,Long 3000-4999,US,CT,Other,06518,Region 0,9945.0,8648.0,0,36,Small 0-49,314349.93
2024-08-11,2039-08-10,5477,Very Long 5000-15000,US,CT,Other,06103,Region 0,0.0,0.0,1,0,Small 0-49,123119.0
2012-08-08,2027-08-07,5477,Very Long 5000-15000,US,NJ,Other,07068,Region 0,23117.0,19265.0,0,40,Small 0-49,956442.97
2024-05-01,2034-04-30,3651,Long 3000-4999,US,CT,Other,06340,Region 0,4757.0,4030.75,0,4,Small 0-49,127771.44
2017-04-24,2027-04-23,3651,Long 3000-4999,US,FL,Other,34102,Region 3,12592.0,11406.0,0,25,Small 0-49,271887.97
